mmdd,radarAccum
0604,3.0827327e-05
0605,0.009301949
0606,0.0
0607,0.0
0608,0.5295328
0609,0.0086632185
0610,22.339375
0611,4.2659006
0612,7.9052525
0613,4.965207
0614,0.0021078866
0615,0.0
0616,0.008868513
0617,0.0
0618,1.6271645e-07
0619,0.050523728
0620,2.9684505
0621,10.635885
0622,29.640001
0623,19.657429
0624,3.9643373
0625,2.8558369
0626,6.4578023
0627,0.019224558
0628,0.0014365632
0629,0.5428433
0630,0.0008418732
0701,0.0
0702,0.42904478
0703,0.8408241
0704,3.1054215
0705,8.285249
0706,5.5210867
0707,0.83540976
0708,9.946461
0709,2.851033
0710,0.8788333
0711,0.72697467
0712,2.6037935e-05
0713,0.926144
0714,0.05656783
0715,0.065449625
0716,0.24779767
0717,0.8908122
0718,5.8727546
0719,1.2194988
0720,0.00047919105
0721,2.9197188e-06
0722,0.63121605
0723,3.7284794
0724,0.6343317
0725,0.000228198
0726,3.3562447e-08
0727,0.025806118
0728,0.30360878
0729,0.036349572
0730,0.005301733
0731,1.2198493e-05
0801,4.4611173e-08
0802,0.0
0803,0.0
0804,0.0
0805,0.0
0806,0.0
0807,9.00048e-07
0808,0.0
0809,0.0
0810,0.85345435
0811,7.8220754
0812,1.2362291
0813,3.9595327
0814,0.006386862
0815,6.6862497
0816,23.950792
0817,2.5605743
0818,8.167641e-07
0819,1.8780602e-07
0820,0.0014807888
0821,2.8728745
0822,0.0
0823,0.0
0824,1.400235e-07
0825,0.0
0826,0.0
0827,0.0
0828,0.00033771558
0829,0.0077039003
0830,0.50892496
0831,0.16203482
0901,2.0229182e-07
0902,6.131515
0903,8.55855
0904,3.5220225
0905,4.891019
0906,0.56321555
0907,0.0
0908,0.0005846725
0909,1.9707818
0910,1.0528858
0911,0.00041199187
0912,0.49545175
0913,3.754289
0914,0.52964926
0915,1.1640273
0916,1.9231765
0917,0.00021555592
0918,0.00024162949
0919,1.6868503
0920,7.266502
0921,6.4188933
0922,4.7132516
0923,2.8632004
0924,0.7262879
0925,0.206905
0926,3.94849e-08
0927,9.057712e-05
0928,2.2751098
0929,3.9005363
0930,0.46177697
1001,3.8938673
1002,13.015006
1003,1.457776
1004,0.0732963
1005,0.06376062
1006,0.0060994695
1007,14.986056
1008,14.086819
1009,8.655224
1010,4.7919908
1011,0.6729279
1012,5.089684
1013,7.6738105
1014,9.765223
1015,8.416794
1016,5.6331286
1017,0.11969123
1018,0.06340463
1019,1.3551247e-07
1020,2.1297011
1021,4.9009347
1022,1.1852015
1023,1.0015948
1024,0.34441364
1025,3.172514e-05
1026,0.0
1027,2.6124864
1028,24.893833
1029,21.192984
1030,1.0446357
1031,0.106745124
1101,9.66024
1102,1.9957039
1103,0.1559552
1104,6.965381e-05
1105,0.0054411045
1106,0.20816252
1107,1.4839156
1108,0.00039201762
1109,9.073339
1110,0.35124835
1111,0.53684366
1112,17.408361
1113,2.1320183
1114,0.02355626
1115,1.0863755
1116,0.020221006
1117,1.0196372e-08
1118,9.860948
1119,0.09809843
1120,0.88633513
1121,5.313537e-08
1122,5.09348e-06
1123,6.337865e-06
1124,0.0
1125,5.9573737e-05
1126,0.031619914
1127,0.032307092
1128,2.249024e-08
1129,0.0
1130,0.019956276
1201,6.5096884e-07
1202,1.4512348e-06
1203,2.435103e-05
1204,0.395572
1205,0.85976243
1206,2.7539148
1207,8.001986
1208,2.6780627
1209,0.14669308
1210,0.18399455
1211,0.0009739311
1212,0.0005451178
1213,1.4426042e-06
1214,7.544756e-07
1215,0.005954205
1216,0.0
1217,1.8044582e-07
1218,0.9192153
1219,0.3614507
1220,2.6889525e-06
1221,0.20354396
1222,0.07709127
1223,3.6847018e-07
1224,1.4242432
1225,0.86898696
1226,2.882831
1227,1.311987
1228,2.4890997
1229,1.2296069e-05
1230,0.0
